composite_rank,ligand,composite_score,best_score,mean_score,score_std,seed_count,consistent,initial_refinement_rank,best_seed,best_run_json,best_output_pdbqt
11,000365_active_0436_active_00436,15.238,-11.210,-11.207,0.005,3,True,12,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000365_active_0436_active_00436/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000365_active_0436_active_00436/seed-3/000365_active_0436_active_00436_docked.pdbqt
12,022777_decoy_24691_decoy_24691,15.179,-11.250,-11.207,0.061,3,True,14,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022777_decoy_24691_decoy_24691/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022777_decoy_24691_decoy_24691/seed-2/022777_decoy_24691_decoy_24691_docked.pdbqt
13,000540_active_0622_active_00622,15.156,-11.170,-11.153,0.017,3,True,13,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000540_active_0622_active_00622/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000540_active_0622_active_00622/seed-3/000540_active_0622_active_00622_docked.pdbqt
14,000381_active_0452_active_00452,15.025,-11.080,-11.060,0.022,3,True,15,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000381_active_0452_active_00452/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000381_active_0452_active_00452/seed-1/000381_active_0452_active_00452_docked.pdbqt
15,022546_decoy_24457_decoy_24457,14.983,-11.040,-11.027,0.012,3,True,17,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022546_decoy_24457_decoy_24457/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022546_decoy_24457_decoy_24457/seed-1/022546_decoy_24457_decoy_24457_docked.pdbqt
16,000237_active_0282_active_00282,14.978,-11.050,-11.027,0.017,3,True,18,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000237_active_0282_active_00282/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000237_active_0282_active_00282/seed-3/000237_active_0282_active_00282_docked.pdbqt
17,019003_decoy_20509_decoy_20509,14.954,-11.030,-11.013,0.017,3,True,20,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/019003_decoy_20509_decoy_20509/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/019003_decoy_20509_decoy_20509/seed-3/019003_decoy_20509_decoy_20509_docked.pdbqt
18,016879_decoy_17973_decoy_17973,14.949,-11.070,-11.020,0.041,3,True,19,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/016879_decoy_17973_decoy_17973/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/016879_decoy_17973_decoy_17973/seed-3/016879_decoy_17973_decoy_17973_docked.pdbqt
19,000723_decoy_0093_decoy_00093,14.942,-11.030,-11.003,0.031,3,True,16,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000723_decoy_0093_decoy_00093/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000723_decoy_0093_decoy_00093/seed-1/000723_decoy_0093_decoy_00093_docked.pdbqt
20,022796_decoy_24710_decoy_24710,14.935,-11.110,-11.047,0.076,3,True,27,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022796_decoy_24710_decoy_24710/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022796_decoy_24710_decoy_24710/seed-3/022796_decoy_24710_decoy_24710_docked.pdbqt
21,022681_decoy_24594_decoy_24594,14.912,-10.990,-10.977,0.009,3,True,21,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022681_decoy_24594_decoy_24594/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022681_decoy_24594_decoy_24594/seed-1/022681_decoy_24594_decoy_24594_docked.pdbqt
22,000273_active_0327_active_00327,14.900,-10.980,-10.970,0.008,3,True,23,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000273_active_0327_active_00327/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000273_active_0327_active_00327/seed-2/000273_active_0327_active_00327_docked.pdbqt
23,005147_decoy_5158_decoy_05158,14.859,-10.950,-10.940,0.008,3,True,25,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/005147_decoy_5158_decoy_05158/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/005147_decoy_5158_decoy_05158/seed-1/005147_decoy_5158_decoy_05158_docked.pdbqt
24,008908_decoy_9147_decoy_09147,14.830,-10.930,-10.920,0.008,3,True,28,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/008908_decoy_9147_decoy_09147/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/008908_decoy_9147_decoy_09147/seed-1/008908_decoy_9147_decoy_09147_docked.pdbqt
25,000329_active_0388_active_00388,14.778,-10.890,-10.880,0.008,3,True,30,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000329_active_0388_active_00388/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000329_active_0388_active_00388/seed-2/000329_active_0388_active_00388_docked.pdbqt
26,009296_decoy_9566_decoy_09566,14.764,-10.900,-10.883,0.024,3,True,34,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009296_decoy_9566_decoy_09566/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009296_decoy_9566_decoy_09566/seed-3/009296_decoy_9566_decoy_09566_docked.pdbqt
27,016947_decoy_18043_decoy_18043,14.759,-10.880,-10.867,0.012,3,True,29,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/016947_decoy_18043_decoy_18043/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/016947_decoy_18043_decoy_18043/seed-1/016947_decoy_18043_decoy_18043_docked.pdbqt
28,022740_decoy_24653_decoy_24653,14.754,-10.950,-10.897,0.068,3,True,26,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022740_decoy_24653_decoy_24653/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022740_decoy_24653_decoy_24653/seed-2/022740_decoy_24653_decoy_24653_docked.pdbqt
29,006768_decoy_6878_decoy_06878,14.725,-11.410,-11.063,0.483,3,True,7,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/006768_decoy_6878_decoy_06878/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/006768_decoy_6878_decoy_06878/seed-3/006768_decoy_6878_decoy_06878_docked.pdbqt
30,011910_decoy_12435_decoy_12435,14.715,-10.830,-10.830,0.000,3,True,36,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/011910_decoy_12435_decoy_12435/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/011910_decoy_12435_decoy_12435/seed-3/011910_decoy_12435_decoy_12435_docked.pdbqt
31,000534_active_0616_active_00616,14.704,-10.840,-10.830,0.014,3,True,35,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000534_active_0616_active_00616/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000534_active_0616_active_00616/seed-3/000534_active_0616_active_00616_docked.pdbqt
32,000618_active_0733_active_00733,14.701,-10.850,-10.827,0.021,3,True,31,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000618_active_0733_active_00733/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000618_active_0733_active_00733/seed-1/000618_active_0733_active_00733_docked.pdbqt
33,004402_decoy_4340_decoy_04340,14.675,-11.230,-10.917,0.222,3,True,44,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/004402_decoy_4340_decoy_04340/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/004402_decoy_4340_decoy_04340/seed-3/004402_decoy_4340_decoy_04340_docked.pdbqt
34,000573_active_0668_active_00668,14.672,-10.910,-10.847,0.076,3,True,43,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000573_active_0668_active_00668/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000573_active_0668_active_00668/seed-1/000573_active_0668_active_00668_docked.pdbqt
35,007678_decoy_7804_decoy_07804,14.657,-10.800,-10.790,0.008,3,True,39,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/007678_decoy_7804_decoy_07804/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/007678_decoy_7804_decoy_07804/seed-2/007678_decoy_7804_decoy_07804_docked.pdbqt
36,021354_decoy_23105_decoy_23105,14.654,-10.820,-10.793,0.019,3,True,40,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/021354_decoy_23105_decoy_23105/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/021354_decoy_23105_decoy_23105/seed-3/021354_decoy_23105_decoy_23105_docked.pdbqt
37,022917_decoy_24838_decoy_24838,14.654,-10.790,-10.787,0.005,3,True,41,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022917_decoy_24838_decoy_24838/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022917_decoy_24838_decoy_24838/seed-2/022917_decoy_24838_decoy_24838_docked.pdbqt
38,000065_active_0081_active_00081,14.641,-10.790,-10.777,0.009,3,True,38,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000065_active_0081_active_00081/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000065_active_0081_active_00081/seed-1/000065_active_0081_active_00081_docked.pdbqt
39,022907_decoy_24827_decoy_24827,14.638,-10.970,-10.857,0.153,3,True,24,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022907_decoy_24827_decoy_24827/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022907_decoy_24827_decoy_24827/seed-3/022907_decoy_24827_decoy_24827_docked.pdbqt
40,000073_active_0089_active_00089,14.625,-10.770,-10.763,0.005,3,True,42,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000073_active_0089_active_00089/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000073_active_0089_active_00089/seed-1/000073_active_0089_active_00089_docked.pdbqt
41,009447_decoy_9722_decoy_09722,14.586,-10.760,-10.740,0.016,3,True,45,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009447_decoy_9722_decoy_09722/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009447_decoy_9722_decoy_09722/seed-2/009447_decoy_9722_decoy_09722_docked.pdbqt
42,021618_decoy_23427_decoy_23427,14.573,-10.740,-10.727,0.009,3,True,49,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/021618_decoy_23427_decoy_23427/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/021618_decoy_23427_decoy_23427/seed-3/021618_decoy_23427_decoy_23427_docked.pdbqt
43,000129_active_0151_active_00151,14.571,-10.750,-10.730,0.016,3,True,50,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000129_active_0151_active_00151/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000129_active_0151_active_00151/seed-2/000129_active_0151_active_00151_docked.pdbqt
44,008787_decoy_8983_decoy_08983,14.565,-10.730,-10.720,0.008,3,True,48,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/008787_decoy_8983_decoy_08983/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/008787_decoy_8983_decoy_08983/seed-3/008787_decoy_8983_decoy_08983_docked.pdbqt
45,009863_decoy_10207_decoy_10207,14.564,-10.730,-10.720,0.008,3,True,51,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009863_decoy_10207_decoy_10207/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009863_decoy_10207_decoy_10207/seed-2/009863_decoy_10207_decoy_10207_docked.pdbqt
46,022803_decoy_24718_decoy_24718,14.563,-10.740,-10.720,0.014,3,True,46,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022803_decoy_24718_decoy_24718/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022803_decoy_24718_decoy_24718/seed-1/022803_decoy_24718_decoy_24718_docked.pdbqt
47,004683_decoy_4641_decoy_04641,14.550,-10.730,-10.713,0.017,3,True,47,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/004683_decoy_4641_decoy_04641/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/004683_decoy_4641_decoy_04641/seed-1/004683_decoy_4641_decoy_04641_docked.pdbqt
48,009742_decoy_10082_decoy_10082,14.529,-10.710,-10.697,0.012,3,True,57,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009742_decoy_10082_decoy_10082/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009742_decoy_10082_decoy_10082/seed-2/009742_decoy_10082_decoy_10082_docked.pdbqt
49,000324_active_0383_active_00383,14.525,-10.980,-10.813,0.229,3,True,22,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000324_active_0383_active_00383/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000324_active_0383_active_00383/seed-1/000324_active_0383_active_00383_docked.pdbqt
50,009588_decoy_9885_decoy_09885,14.519,-10.690,-10.683,0.005,3,True,56,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009588_decoy_9885_decoy_09885/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009588_decoy_9885_decoy_09885/seed-1/009588_decoy_9885_decoy_09885_docked.pdbqt
51,016549_decoy_17641_decoy_17641,14.508,-10.690,-10.677,0.009,3,True,54,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/016549_decoy_17641_decoy_17641/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/016549_decoy_17641_decoy_17641/seed-1/016549_decoy_17641_decoy_17641_docked.pdbqt
52,000253_active_0307_active_00307,14.506,-10.680,-10.673,0.005,3,True,59,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000253_active_0307_active_00307/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000253_active_0307_active_00307/seed-2/000253_active_0307_active_00307_docked.pdbqt
53,008766_decoy_8962_decoy_08962,14.489,-10.720,-10.667,0.038,3,True,33,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/008766_decoy_8962_decoy_08962/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/008766_decoy_8962_decoy_08962/seed-3/008766_decoy_8962_decoy_08962_docked.pdbqt
54,013374_decoy_13971_decoy_13971,14.488,-10.680,-10.663,0.012,3,True,58,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/013374_decoy_13971_decoy_13971/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/013374_decoy_13971_decoy_13971/seed-1/013374_decoy_13971_decoy_13971_docked.pdbqt
55,014410_decoy_15214_decoy_15214,14.486,-10.670,-10.660,0.008,3,True,61,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/014410_decoy_15214_decoy_15214/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/014410_decoy_15214_decoy_15214/seed-2/014410_decoy_15214_decoy_15214_docked.pdbqt
56,015340_decoy_16314_decoy_16314,14.485,-10.670,-10.660,0.008,3,True,62,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/015340_decoy_16314_decoy_16314/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/015340_decoy_16314_decoy_16314/seed-3/015340_decoy_16314_decoy_16314_docked.pdbqt
57,022836_decoy_24751_decoy_24751,14.471,-10.700,-10.667,0.040,3,True,52,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022836_decoy_24751_decoy_24751/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022836_decoy_24751_decoy_24751/seed-1/022836_decoy_24751_decoy_24751_docked.pdbqt
58,023595_decoy_25603_decoy_25603,14.468,-10.710,-10.660,0.036,3,True,64,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/023595_decoy_25603_decoy_25603/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/023595_decoy_25603_decoy_25603/seed-2/023595_decoy_25603_decoy_25603_docked.pdbqt
59,014140_decoy_14860_decoy_14860,14.462,-10.660,-10.643,0.012,3,True,63,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/014140_decoy_14860_decoy_14860/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/014140_decoy_14860_decoy_14860/seed-2/014140_decoy_14860_decoy_14860_docked.pdbqt
60,000414_active_0489_active_00489,14.442,-10.630,-10.623,0.005,3,True,65,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000414_active_0489_active_00489/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000414_active_0489_active_00489/seed-3/000414_active_0489_active_00489_docked.pdbqt
61,004851_decoy_4828_decoy_04828,14.436,-10.640,-10.623,0.012,3,True,66,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/004851_decoy_4828_decoy_04828/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/004851_decoy_4828_decoy_04828/seed-3/004851_decoy_4828_decoy_04828_docked.pdbqt
62,008487_decoy_8676_decoy_08676,14.423,-10.640,-10.620,0.022,3,True,70,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/008487_decoy_8676_decoy_08676/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/008487_decoy_8676_decoy_08676/seed-3/008487_decoy_8676_decoy_08676_docked.pdbqt
63,009481_decoy_9757_decoy_09757,14.419,-10.640,-10.613,0.019,3,True,68,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009481_decoy_9757_decoy_09757/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009481_decoy_9757_decoy_09757/seed-2/009481_decoy_9757_decoy_09757_docked.pdbqt
64,014851_decoy_15681_decoy_15681,14.406,-10.600,-10.597,0.005,3,True,71,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/014851_decoy_15681_decoy_15681/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/014851_decoy_15681_decoy_15681/seed-2/014851_decoy_15681_decoy_15681_docked.pdbqt
65,022817_decoy_24732_decoy_24732,14.402,-10.600,-10.593,0.005,3,True,73,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022817_decoy_24732_decoy_24732/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022817_decoy_24732_decoy_24732/seed-3/022817_decoy_24732_decoy_24732_docked.pdbqt
66,002459_decoy_1957_decoy_01957,14.396,-10.600,-10.590,0.008,3,True,69,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/002459_decoy_1957_decoy_01957/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/002459_decoy_1957_decoy_01957/seed-3/002459_decoy_1957_decoy_01957_docked.pdbqt
67,004704_decoy_4664_decoy_04664,14.393,-10.690,-10.630,0.078,3,True,53,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/004704_decoy_4664_decoy_04664/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/004704_decoy_4664_decoy_04664/seed-1/004704_decoy_4664_decoy_04664_docked.pdbqt
68,016924_decoy_18018_decoy_18018,14.372,-10.600,-10.580,0.022,3,True,72,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/016924_decoy_18018_decoy_18018/seed-3/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/016924_decoy_18018_decoy_18018/seed-3/016924_decoy_18018_decoy_18018_docked.pdbqt
69,009211_decoy_9476_decoy_09476,14.368,-10.600,-10.573,0.019,3,True,76,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009211_decoy_9476_decoy_09476/seed-2/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009211_decoy_9476_decoy_09476/seed-2/009211_decoy_9476_decoy_09476_docked.pdbqt
70,009417_decoy_9688_decoy_09688,14.358,-10.570,-10.560,0.008,3,True,74,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009417_decoy_9688_decoy_09688/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/009417_decoy_9688_decoy_09688/seed-1/009417_decoy_9688_decoy_09688_docked.pdbqt
71,006156_decoy_6258_decoy_06258,14.353,-10.710,-10.593,0.083,3,True,67,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/006156_decoy_6258_decoy_06258/seed-1/vina_run.json,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/006156_decoy_6258_decoy_06258/seed-1/006156_decoy_6258_decoy_06258_docked.pdbqt
