ligand,best_score,receptor_pdbqt,ligand_pdbqt,output_pdbqt,binding_site_method,binding_site_residues,center_x,center_y,center_z,size_x,size_y,size_z,exhaustiveness,num_modes,cpu,seed,run_json
000462_active_0539_active_00539,-11.540,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000462_active_0539_active_00539.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000462_active_0539_active_00539/seed-2/000462_active_0539_active_00539_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000462_active_0539_active_00539/seed-2/vina_run.json
018878_decoy_20357_decoy_20357,-11.420,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/018878_decoy_20357_decoy_20357.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/018878_decoy_20357_decoy_20357/seed-2/018878_decoy_20357_decoy_20357_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/018878_decoy_20357_decoy_20357/seed-2/vina_run.json
018878_decoy_20357_decoy_20357,-11.420,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/018878_decoy_20357_decoy_20357.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/018878_decoy_20357_decoy_20357/seed-1/018878_decoy_20357_decoy_20357_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/018878_decoy_20357_decoy_20357/seed-1/vina_run.json
006768_decoy_6878_decoy_06878,-11.410,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/006768_decoy_6878_decoy_06878.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/006768_decoy_6878_decoy_06878/seed-3/006768_decoy_6878_decoy_06878_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/006768_decoy_6878_decoy_06878/seed-3/vina_run.json
006768_decoy_6878_decoy_06878,-11.400,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/006768_decoy_6878_decoy_06878.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/006768_decoy_6878_decoy_06878/seed-1/006768_decoy_6878_decoy_06878_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/006768_decoy_6878_decoy_06878/seed-1/vina_run.json
000155_active_0187_active_00187,-11.390,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000155_active_0187_active_00187.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000155_active_0187_active_00187/seed-2/000155_active_0187_active_00187_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000155_active_0187_active_00187/seed-2/vina_run.json
018878_decoy_20357_decoy_20357,-11.380,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/018878_decoy_20357_decoy_20357.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/018878_decoy_20357_decoy_20357/seed-3/018878_decoy_20357_decoy_20357_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/018878_decoy_20357_decoy_20357/seed-3/vina_run.json
000155_active_0187_active_00187,-11.360,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000155_active_0187_active_00187.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000155_active_0187_active_00187/seed-1/000155_active_0187_active_00187_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000155_active_0187_active_00187/seed-1/vina_run.json
000155_active_0187_active_00187,-11.360,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000155_active_0187_active_00187.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000155_active_0187_active_00187/seed-3/000155_active_0187_active_00187_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000155_active_0187_active_00187/seed-3/vina_run.json
000533_active_0615_active_00615,-11.310,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000533_active_0615_active_00615.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000533_active_0615_active_00615/seed-1/000533_active_0615_active_00615_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000533_active_0615_active_00615/seed-1/vina_run.json
000533_active_0615_active_00615,-11.270,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000533_active_0615_active_00615.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000533_active_0615_active_00615/seed-2/000533_active_0615_active_00615_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000533_active_0615_active_00615/seed-2/vina_run.json
000533_active_0615_active_00615,-11.260,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000533_active_0615_active_00615.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000533_active_0615_active_00615/seed-3/000533_active_0615_active_00615_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000533_active_0615_active_00615/seed-3/vina_run.json
022777_decoy_24691_decoy_24691,-11.250,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/022777_decoy_24691_decoy_24691.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022777_decoy_24691_decoy_24691/seed-2/022777_decoy_24691_decoy_24691_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022777_decoy_24691_decoy_24691/seed-2/vina_run.json
022777_decoy_24691_decoy_24691,-11.250,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/022777_decoy_24691_decoy_24691.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022777_decoy_24691_decoy_24691/seed-3/022777_decoy_24691_decoy_24691_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022777_decoy_24691_decoy_24691/seed-3/vina_run.json
001721_decoy_1151_decoy_01151,-11.240,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/001721_decoy_1151_decoy_01151.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/001721_decoy_1151_decoy_01151/seed-3/001721_decoy_1151_decoy_01151_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/001721_decoy_1151_decoy_01151/seed-3/vina_run.json
001721_decoy_1151_decoy_01151,-11.230,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/001721_decoy_1151_decoy_01151.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/001721_decoy_1151_decoy_01151/seed-2/001721_decoy_1151_decoy_01151_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/001721_decoy_1151_decoy_01151/seed-2/vina_run.json
004402_decoy_4340_decoy_04340,-11.230,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/004402_decoy_4340_decoy_04340.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/004402_decoy_4340_decoy_04340/seed-3/004402_decoy_4340_decoy_04340_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/004402_decoy_4340_decoy_04340/seed-3/vina_run.json
000565_active_0656_active_00656,-11.230,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000565_active_0656_active_00656.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000565_active_0656_active_00656/seed-2/000565_active_0656_active_00656_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000565_active_0656_active_00656/seed-2/vina_run.json
001721_decoy_1151_decoy_01151,-11.220,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/001721_decoy_1151_decoy_01151.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/001721_decoy_1151_decoy_01151/seed-1/001721_decoy_1151_decoy_01151_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/001721_decoy_1151_decoy_01151/seed-1/vina_run.json
000365_active_0436_active_00436,-11.210,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000365_active_0436_active_00436.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000365_active_0436_active_00436/seed-3/000365_active_0436_active_00436_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000365_active_0436_active_00436/seed-3/vina_run.json
000365_active_0436_active_00436,-11.210,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000365_active_0436_active_00436.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000365_active_0436_active_00436/seed-2/000365_active_0436_active_00436_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000365_active_0436_active_00436/seed-2/vina_run.json
000565_active_0656_active_00656,-11.210,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000565_active_0656_active_00656.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000565_active_0656_active_00656/seed-3/000565_active_0656_active_00656_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000565_active_0656_active_00656/seed-3/vina_run.json
000365_active_0436_active_00436,-11.200,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000365_active_0436_active_00436.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000365_active_0436_active_00436/seed-1/000365_active_0436_active_00436_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000365_active_0436_active_00436/seed-1/vina_run.json
000565_active_0656_active_00656,-11.200,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000565_active_0656_active_00656.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000565_active_0656_active_00656/seed-1/000565_active_0656_active_00656_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000565_active_0656_active_00656/seed-1/vina_run.json
000540_active_0622_active_00622,-11.170,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000540_active_0622_active_00622.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000540_active_0622_active_00622/seed-3/000540_active_0622_active_00622_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000540_active_0622_active_00622/seed-3/vina_run.json
000540_active_0622_active_00622,-11.160,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000540_active_0622_active_00622.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000540_active_0622_active_00622/seed-2/000540_active_0622_active_00622_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,2,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000540_active_0622_active_00622/seed-2/vina_run.json
000540_active_0622_active_00622,-11.130,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/000540_active_0622_active_00622.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000540_active_0622_active_00622/seed-1/000540_active_0622_active_00622_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/000540_active_0622_active_00622/seed-1/vina_run.json
022777_decoy_24691_decoy_24691,-11.120,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/022777_decoy_24691_decoy_24691.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022777_decoy_24691_decoy_24691/seed-1/022777_decoy_24691_decoy_24691_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,1,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022777_decoy_24691_decoy_24691/seed-1/vina_run.json
022796_decoy_24710_decoy_24710,-11.110,/data/oslab/runs/kimlab-cdk2-enrichment-v2-receptor-vina/receptor.pdbqt,/data/oslab/benchmarks/cdk2-transferred/workflow-run/screen/ligand-vina-prep/pdbqt/022796_decoy_24710_decoy_24710.pdbqt,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022796_decoy_24710_decoy_24710/seed-3/022796_decoy_24710_decoy_24710_docked.pdbqt,ligand-centroid,,1.970,27.560,8.830,14.000,14.000,14.000,16,3,1,3,/data/oslab/reports/kimlab-cdk2-enrichment-v2-hit-refinement/redocking/022796_decoy_24710_decoy_24710/seed-3/vina_run.json
